passID,timestamp,stationRef,vehicleRef,charge,t,v,hn,p
OCG0520265,01/02/2019 16:45:32,NE02,VX68BAR38623,1.5,NE02,VX68BAR38623,NE,home
PZY6450746,01/02/2019 19:54:38,MR00,IZ65WAT29135,2.0,MR00,IZ65WAT29135,MR,home
SVP4480098,01/02/2019 19:54:58,OO07,RK48BOP88344,2.8,OO07,RK48BOP88344,OO,home
CKM4226732,01/02/2019 21:13:27,GF00,BY85QGR11636,2.5,GF00,BY85QGR11636,GF,home
KYZ7726118,01/02/2019 21:13:29,MR05,XV91YMP27722,2.5,MR05,XV91YMP27722,MR,home
BJS5915448,01/02/2019 21:36:00,AO11,BZ76ROL87339,1.0,AO11,BZ76ROL87339,AO,home
ABE2129498,01/02/2019 21:47:17,AO14,BZ76ROL87339,1.0,AO14,BZ76ROL87339,AO,home
QYU5003410,01/03/2019 00:02:36,EG01,TE24LCO18661,1.25,EG01,TE24LCO18661,EG,home
WPS5352347,01/03/2019 01:40:17,GF00,IO09FGE68100,2.8,GF00,IO09FGE68100,GF,home
RDV6518451,01/03/2019 02:39:56,AO15,XE59BZM26378,2.8,AO15,XE59BZM26378,EG,away
WNH6218760,01/03/2019 03:04:13,KO01,QW79CHL42244,2.8,KO01,QW79CHL42244,KO,home
RRS9227725,01/03/2019 03:32:01,EG05,CM15YCB60994,2.0,EG05,CM15YCB60994,EG,home
LJZ4625728,01/03/2019 03:41:35,KO09,QW79CHL42244,2.8,KO09,QW79CHL42244,KO,home
VED8509398,01/03/2019 04:03:26,OO11,JF94VYA88954,2.8,OO11,JF94VYA88954,OO,home
IAQ7370002,01/03/2019 04:19:50,NE00,QP02SYE47964,2.8,NE00,QP02SYE47964,NE,home
KPT1084302,01/03/2019 06:06:34,KO01,IX01MVL33676,2.5,KO01,IX01MVL33676,KO,home
CSJ9595952,01/03/2019 06:24:18,KO05,IZ65WAT29135,1.5,KO05,IZ65WAT29135,MR,away
AJB4007132,01/03/2019 06:51:02,AO18,MX39VOS38645,2.8,AO18,MX39VOS38645,AO,home
IFJ1584058,01/03/2019 06:59:57,MR07,EZ65FLV39493,2.8,MR07,EZ65FLV39493,MR,home
IJN5312188,01/03/2019 08:35:09,KO03,FL13UMN92207,1.0,KO03,FL13UMN92207,KO,home
UZI9045597,01/03/2019 08:43:26,NE01,PM58XHX45588,1.5,NE01,PM58XHX45588,NE,home
DKI5609758,01/03/2019 09:23:10,GF00,CK97FAU13897,2.5,GF00,CK97FAU13897,GF,home
BJL0155721,01/03/2019 09:23:50,MR04,KF48RSD79865,2.8,MR04,KF48RSD79865,MR,home
YON4581505,01/03/2019 12:20:02,GF00,YX66XYW62640,3.1,GF00,YX66XYW62640,GF,home
JZP9177875,01/03/2019 14:02:19,AO04,YL27IFD65117,2.0,AO04,YL27IFD65117,AO,home
SSZ7103725,01/03/2019 14:43:40,MR00,HE38BQH01623,2.8,MR00,HE38BQH01623,MR,home
FPU0425557,01/03/2019 15:44:50,KO05,WY00MLL63827,1.0,KO05,WY00MLL63827,KO,home
MOS5853245,01/03/2019 16:51:44,KO05,IX01MVL33676,2.5,KO05,IX01MVL33676,KO,home
EWR2508893,01/03/2019 16:58:43,AO12,DP11ENT03275,3.1,AO12,DP11ENT03275,AO,home
FDO3407403,01/03/2019 17:39:51,KO08,QW79CHL42244,2.8,KO08,QW79CHL42244,KO,home
DLQ8625471,01/03/2019 19:31:14,GF00,MP14WFM40909,2.8,GF00,MP14WFM40909,GF,home
ZAG0725273,01/03/2019 19:34:31,EG07,EC02LZC49528,2.8,EG07,EC02LZC49528,EG,home
RJN3440849,01/03/2019 20:37:16,NE12,EG95RTB75032,2.8,NE12,EG95RTB75032,NE,home
BXR7588699,01/03/2019 21:13:38,OO05,EM54HQI58682,2.8,OO05,EM54HQI58682,OO,home
JZF0586381,01/03/2019 22:03:24,EG01,TE24LCO18661,1.25,EG01,TE24LCO18661,EG,home
AKJ5235405,01/03/2019 22:15:34,NE06,XV91YMP27722,1.5,NE06,XV91YMP27722,MR,away
YSK8555815,01/03/2019 22:56:55,EG09,TV81MAQ99005,2.8,EG09,TV81MAQ99005,EG,home
VAS7777913,01/03/2019 23:10:55,KO05,QO77TFN61853,2.2,KO05,QO77TFN61853,KO,home
OSB6924402,01/03/2019 23:11:51,OO01,WY00MLL63827,2.8,OO01,WY00MLL63827,KO,away
IKP1014708,01/03/2019 23:28:32,AO02,PE73VJU23485,2.8,AO02,PE73VJU23485,AO,home
NDS8480885,01/04/2019 00:41:50,NE07,PD45WOT56494,1.5,NE07,PD45WOT56494,NE,home
IEP5322365,01/04/2019 00:46:18,AO05,YL27IFD65117,2.0,AO05,YL27IFD65117,AO,home
LZU2500999,01/04/2019 01:37:11,NE09,FY47TUN40300,1.0,NE09,FY47TUN40300,NE,home
FTO5959048,01/04/2019 02:32:19,NE07,NY14GZR94632,2.8,NE07,NY14GZR94632,NE,home
PEO8978228,01/04/2019 02:38:40,GF00,PF04UCA93312,3.1,GF00,PF04UCA93312,GF,home
IWZ6784211,01/04/2019 02:51:02,AO05,DV04FQL29609,3.1,AO05,DV04FQL29609,AO,home
DOT0840926,01/04/2019 03:48:37,OO04,RK48BOP88344,2.8,OO04,RK48BOP88344,OO,home
YIC2205567,01/04/2019 04:43:03,OO05,AT19HLV57173,2.8,OO05,AT19HLV57173,OO,home
JYG0256462,01/04/2019 06:18:08,AO17,OC94ASJ72024,1.0,AO17,OC94ASJ72024,AO,home
FZS8692226,01/04/2019 08:01:00,KO05,ED51EWW52190,1.0,KO05,ED51EWW52190,KO,home
ZIK8298699,01/04/2019 08:11:02,OO06,UA13YTK28483,2.5,OO06,UA13YTK28483,MR,away
GBM5773955,01/04/2019 08:41:44,OO01,AT19HLV57173,2.8,OO01,AT19HLV57173,OO,home
PLP9237083,01/04/2019 08:43:30,OO05,RK48BOP88344,2.8,OO05,RK48BOP88344,OO,home
PSV9420885,01/04/2019 08:56:38,NE15,BI87HYL81972,2.2,NE15,BI87HYL81972,MR,away
OQE5431179,01/04/2019 09:27:53,KO06,KB55KTM48860,2.5,KO06,KB55KTM48860,KO,home
FRP9290882,01/04/2019 09:32:06,AO15,BZ76ROL87339,1.0,AO15,BZ76ROL87339,AO,home
VIG3313800,01/04/2019 15:15:27,KO06,IX01MVL33676,2.5,KO06,IX01MVL33676,KO,home
BMV9911239,01/04/2019 15:27:30,GF00,BY85QGR11636,2.5,GF00,BY85QGR11636,GF,home
BWS1548433,01/04/2019 16:03:42,EG07,TV81MAQ99005,2.8,EG07,TV81MAQ99005,EG,home
DPC4921911,01/04/2019 16:38:01,MR06,UA13YTK28483,2.8,MR06,UA13YTK28483,MR,home
FAD4262737,01/04/2019 16:52:02,AO08,DV04FQL29609,3.1,AO08,DV04FQL29609,AO,home
BOS5722123,01/04/2019 17:39:14,MR05,QO68DIC93032,2.5,MR05,QO68DIC93032,MR,home
BIP4596977,01/04/2019 17:45:30,MR00,HE38BQH01623,2.8,MR00,HE38BQH01623,MR,home
IZU3260044,01/04/2019 18:05:15,MR03,HR53SRO94328,13.0,MR03,HR53SRO94328,MR,home
IOI0658573,01/04/2019 19:07:07,OO02,PD45WOT56494,2.0,OO02,PD45WOT56494,NE,away
ELI0385232,01/04/2019 21:05:28,MR08,HE38BQH01623,2.8,MR08,HE38BQH01623,MR,home
SCB3162252,01/04/2019 21:05:48,OO05,VJ92OYV94295,2.5,OO05,VJ92OYV94295,OO,home
XRB7777819,01/04/2019 21:25:53,KO08,AY38OQF67603,1.5,KO08,AY38OQF67603,OO,away
VNX6112928,01/04/2019 21:30:49,OO02,XV40HUQ04740,1.0,OO02,XV40HUQ04740,OO,home
JBK7975831,01/04/2019 22:14:33,OO01,XV40HUQ04740,1.0,OO01,XV40HUQ04740,OO,home
UZV6669660,01/04/2019 22:41:17,NE14,FY47TUN40300,1.0,NE14,FY47TUN40300,NE,home
AST1565987,01/04/2019 23:41:10,NE00,QU94IGC75528,2.8,NE00,QU94IGC75528,EG,away
EPU9167801,01/05/2019 02:09:42,MR05,QN23UHH39091,2.8,MR05,QN23UHH39091,MR,home
UME6300154,01/05/2019 03:12:00,NE14,OY94SZK34436,2.5,NE14,OY94SZK34436,NE,home
IZL8111210,01/05/2019 03:29:35,KO05,MQ65WJJ60020,1.25,KO05,MQ65WJJ60020,KO,home
TYT3955033,01/05/2019 03:58:41,AO08,VL67TFO75321,2.8,AO08,VL67TFO75321,EG,away
WHI1664349,01/05/2019 05:13:28,NE13,QP02SYE47964,2.8,NE13,QP02SYE47964,NE,home
XSE8654212,01/05/2019 06:11:45,NE15,JV67MTI17124,2.5,NE15,JV67MTI17124,NE,home
TXL5895242,01/05/2019 06:41:14,KO05,QO77TFN61853,2.2,KO05,QO77TFN61853,KO,home
LJC9157282,01/05/2019 08:15:30,KO03,JO50FSF60755,2.2,KO03,JO50FSF60755,KO,home
HJW5583166,01/05/2019 09:36:10,MR05,BI87HYL81972,1.0,MR05,BI87HYL81972,MR,home
OIV5602818,01/05/2019 10:01:17,MR02,UA13YTK28483,2.8,MR02,UA13YTK28483,MR,home
DKX6181104,01/05/2019 11:20:48,NE00,EM54HQI58682,3.1,NE00,EM54HQI58682,OO,away
TGM8606494,01/05/2019 11:22:22,EG07,IW53OQE31439,2.8,EG07,IW53OQE31439,EG,home
UIC7940896,01/05/2019 11:28:50,EG12,TE24LCO18661,1.25,EG12,TE24LCO18661,EG,home
PZP9995637,01/05/2019 18:12:40,MR08,KF48RSD79865,2.8,MR08,KF48RSD79865,MR,home
HOA0727154,01/05/2019 19:13:41,MR03,KF48RSD79865,2.8,MR03,KF48RSD79865,MR,home
KTK8951799,01/05/2019 20:21:34,GF00,PF04UCA93312,3.1,GF00,PF04UCA93312,GF,home
UWV9537409,01/05/2019 21:22:10,AO01,DP11ENT03275,3.1,AO01,DP11ENT03275,AO,home
GYR0258541,01/05/2019 22:43:37,AO13,RR73DWB65452,2.8,AO13,RR73DWB65452,AO,home
SDQ5556853,01/05/2019 23:45:13,NE03,QP02SYE47964,2.8,NE03,QP02SYE47964,NE,home
UDF1325536,01/05/2019 23:57:16,OO01,AY38OQF67603,2.8,OO01,AY38OQF67603,OO,home
NQV7199789,01/06/2019 00:22:14,EG10,CM15YCB60994,2.0,EG10,CM15YCB60994,EG,home
INA0533953,01/06/2019 00:50:10,NE05,VX68BAR38623,1.5,NE05,VX68BAR38623,NE,home
AZT9656066,01/06/2019 01:25:53,OO05,JF94VYA88954,2.8,OO05,JF94VYA88954,OO,home
IUO2143413,01/06/2019 02:49:58,MR07,RR98KQE80731,1.25,MR07,RR98KQE80731,MR,home
UXT7394943,01/06/2019 02:58:38,EG06,EC02LZC49528,2.8,EG06,EC02LZC49528,EG,home
LJW9984906,01/06/2019 03:17:37,GF00,MP14WFM40909,2.8,GF00,MP14WFM40909,GF,home
TPR4294291,01/06/2019 03:35:43,NE15,EG95RTB75032,2.8,NE15,EG95RTB75032,NE,home
ULN8974546,01/06/2019 03:48:41,AO12,HT62RDI04611,2.8,AO12,HT62RDI04611,AO,home
QZK4342840,01/06/2019 03:55:09,MR02,QH15HWX24570,3.1,MR02,QH15HWX24570,MR,home
XWI7097584,01/06/2019 05:33:26,GF00,YX66XYW62640,3.1,GF00,YX66XYW62640,GF,home
MXM6404031,01/06/2019 07:06:45,AO14,YL27IFD65117,2.0,AO14,YL27IFD65117,AO,home
YJU8743734,01/06/2019 07:31:26,EG12,EC02LZC49528,2.8,EG12,EC02LZC49528,EG,home
SUH5952969,01/06/2019 09:34:39,NE07,QR03XCJ37459,1.5,NE07,QR03XCJ37459,OO,away
WOJ6728265,01/06/2019 11:37:28,MR05,RR98KQE80731,1.25,MR05,RR98KQE80731,MR,home
PAV5608102,01/06/2019 11:37:56,NE08,EG95RTB75032,2.8,NE08,EG95RTB75032,NE,home
CFO6913267,01/06/2019 11:39:08,OO08,LC72NRN52084,1.25,OO08,LC72NRN52084,OO,home
PAL2525981,01/06/2019 12:12:26,OO03,IC95TLY24827,2.0,OO03,IC95TLY24827,OO,home
RCF4544449,01/06/2019 12:43:46,KO00,WY00MLL63827,1.0,KO00,WY00MLL63827,KO,home
PVJ3943516,01/06/2019 12:54:19,AO15,XE59BZM26378,2.8,AO15,XE59BZM26378,EG,away
IRX8848859,01/06/2019 12:57:40,AO08,RR73DWB65452,2.8,AO08,RR73DWB65452,AO,home
MCD5475060,01/06/2019 13:13:49,KO08,MQ65WJJ60020,1.25,KO08,MQ65WJJ60020,KO,home
PFW8615887,01/06/2019 14:19:26,OO09,RK48BOP88344,2.8,OO09,RK48BOP88344,OO,home
ASW3119652,01/06/2019 15:33:04,MR06,UA13YTK28483,2.8,MR06,UA13YTK28483,MR,home
VQA8895237,01/06/2019 15:57:49,NE16,IA29IQS63679,1.0,NE16,IA29IQS63679,NE,home
NHL4953806,01/06/2019 16:44:56,OO13,LG64ARC91224,1.5,OO13,LG64ARC91224,AO,away
MAK0971449,01/06/2019 16:47:44,KO07,FY47TUN40300,2.8,KO07,FY47TUN40300,NE,away
JFR2402578,01/06/2019 17:25:32,GF00,SL09NOT64494,2.5,GF00,SL09NOT64494,GF,home
YYP0773445,01/06/2019 18:29:01,EG00,TZ48CCW54765,3.1,EG00,TZ48CCW54765,EG,home
LIV9253695,01/06/2019 19:23:47,OO03,XV40HUQ04740,1.0,OO03,XV40HUQ04740,OO,home
CCS6814108,01/06/2019 21:36:03,NE06,NY14GZR94632,2.8,NE06,NY14GZR94632,NE,home
KOC7962766,01/06/2019 23:08:16,GF00,MA30QLI76818,2.5,GF00,MA30QLI76818,GF,home
DOZ1453528,01/06/2019 23:08:29,GF00,BY85QGR11636,2.5,GF00,BY85QGR11636,GF,home
PFR7735501,01/06/2019 23:50:25,NE08,OY94SZK34436,1.0,NE08,OY94SZK34436,NE,home
RVF1714057,01/06/2019 23:54:56,GF00,BY85QGR11636,2.5,GF00,BY85QGR11636,GF,home
QJM2827051,01/07/2019 00:07:29,KO06,JO50FSF60755,2.2,KO06,JO50FSF60755,KO,home
HNU5135879,01/07/2019 00:26:29,MR07,UA13YTK28483,2.8,MR07,UA13YTK28483,MR,home
NUF0316968,01/07/2019 00:57:19,GF00,BY85QGR11636,2.5,GF00,BY85QGR11636,GF,home
MFM7697504,01/07/2019 01:12:40,OO09,YX66XYW62640,1.0,OO09,YX66XYW62640,GF,away
RRF5482950,01/07/2019 01:34:18,KO09,IX01MVL33676,2.5,KO09,IX01MVL33676,KO,home
RCS4635589,01/07/2019 01:35:42,MR07,HE38BQH01623,2.8,MR07,HE38BQH01623,MR,home
LZJ2868612,01/07/2019 02:19:22,NE12,QP02SYE47964,2.8,NE12,QP02SYE47964,NE,home
HPB9107400,01/07/2019 02:53:29,GF00,PF04UCA93312,3.1,GF00,PF04UCA93312,GF,home
KMK0226092,01/07/2019 03:36:28,OO07,JO50FSF60755,2.0,OO07,JO50FSF60755,KO,away
NRK5104296,01/07/2019 05:02:07,MR02,UF84JOS00561,3.1,MR02,UF84JOS00561,GF,away
RBK8060006,01/07/2019 05:27:05,AO05,YL27IFD65117,2.0,AO05,YL27IFD65117,AO,home
AUU6469015,01/07/2019 06:24:36,AO13,EM54HQI58682,2.8,AO13,EM54HQI58682,OO,away
IQN6203368,01/07/2019 08:48:25,EG06,SL09NOT64494,2.2,EG06,SL09NOT64494,GF,away
VXK5719170,01/07/2019 08:59:33,EG05,EC02LZC49528,2.8,EG05,EC02LZC49528,EG,home
QRR8447934,01/07/2019 09:03:09,MR00,QO68DIC93032,2.5,MR00,QO68DIC93032,MR,home
NXJ2283523,01/07/2019 10:21:32,NE02,FY47TUN40300,1.0,NE02,FY47TUN40300,NE,home
BPA2075644,01/07/2019 11:55:26,KO07,FL13UMN92207,1.0,KO07,FL13UMN92207,KO,home
GIQ5227984,01/07/2019 12:10:20,NE02,AT19HLV57173,2.0,NE02,AT19HLV57173,OO,away
QMM0347109,01/07/2019 12:11:43,OO12,BI87HYL81972,2.5,OO12,BI87HYL81972,MR,away
NBS8149331,01/07/2019 12:23:01,OO10,QX75YWC61835,2.5,OO10,QX75YWC61835,OO,home
WXO4856567,01/07/2019 14:15:16,EG10,EV77EDV52985,1.25,EG10,EV77EDV52985,NE,away
DSB0448624,01/07/2019 15:22:36,GF00,UF84JOS00561,2.8,GF00,UF84JOS00561,GF,home
REY3108814,01/07/2019 15:38:27,NE16,IA29IQS63679,1.0,NE16,IA29IQS63679,NE,home
LAO6168976,01/07/2019 15:53:34,OO05,DP11ENT03275,1.0,OO05,DP11ENT03275,AO,away
UQR3278904,01/07/2019 16:05:57,AO13,EV77EDV52985,2.8,AO13,EV77EDV52985,NE,away
DPZ9842551,01/07/2019 16:28:28,NE13,EG95RTB75032,2.8,NE13,EG95RTB75032,NE,home
HCX4122632,01/07/2019 18:13:54,AO04,PE73VJU23485,2.8,AO04,PE73VJU23485,AO,home
ARH1581655,01/07/2019 18:27:49,KO01,WY00MLL63827,1.0,KO01,WY00MLL63827,KO,home
HTD0281631,01/07/2019 19:53:52,AO08,RK48BOP88344,2.8,AO08,RK48BOP88344,OO,away
IWR8131559,01/07/2019 20:03:22,OO05,RK48BOP88344,2.8,OO05,RK48BOP88344,OO,home
XQT9913725,01/07/2019 21:39:27,AO12,LG64ARC91224,13.0,AO12,LG64ARC91224,AO,home
FDG4220162,01/07/2019 22:40:29,EG10,CM15YCB60994,2.0,EG10,CM15YCB60994,EG,home
SYA7107074,01/07/2019 23:04:34,EG07,CR31GMR97972,1.5,EG07,CR31GMR97972,EG,home
EGU0149427,01/07/2019 23:39:52,NE00,OY94SZK34436,2.5,NE00,OY94SZK34436,NE,home
OXK0045085,01/07/2019 23:40:16,KO03,KB55KTM48860,2.5,KO03,KB55KTM48860,KO,home
UTD5120164,01/08/2019 00:24:12,OO04,AT19HLV57173,2.8,OO04,AT19HLV57173,OO,home
UBP7692482,01/08/2019 01:47:32,OO07,TV81MAQ99005,3.1,OO07,TV81MAQ99005,EG,away
YQF2255735,01/08/2019 01:55:18,GF00,QN12NTR81378,2.8,GF00,QN12NTR81378,GF,home
TBW5744223,01/08/2019 03:13:34,MR06,QO68DIC93032,2.5,MR06,QO68DIC93032,MR,home
OFS6376591,01/08/2019 03:18:10,EG02,RK48BOP88344,2.5,EG02,RK48BOP88344,OO,away
FAE2281094,01/08/2019 05:38:33,OO04,SY96JDQ97089,2.0,OO04,SY96JDQ97089,AO,away
IIM9785176,01/08/2019 05:52:56,NE07,UP28MBM38391,1.0,NE07,UP28MBM38391,NE,home
PHE1025027,01/08/2019 06:22:31,MR07,KF48RSD79865,2.8,MR07,KF48RSD79865,MR,home
INQ8456777,01/08/2019 07:47:16,AO17,JD78PQD35395,2.8,AO17,JD78PQD35395,EG,away
DUR6384757,01/08/2019 08:11:22,AO01,BM25PHF40639,13.0,AO01,BM25PHF40639,AO,home
OZT5115958,01/08/2019 08:12:54,GF00,JE65QJK64802,2.8,GF00,JE65QJK64802,GF,home
LMA8654820,01/08/2019 09:59:33,AO04,EC02LZC49528,2.8,AO04,EC02LZC49528,EG,away
XTE9166677,01/08/2019 11:22:49,NE00,FY47TUN40300,1.0,NE00,FY47TUN40300,NE,home
PPU9152797,01/08/2019 13:04:24,AO13,FL13UMN92207,2.8,AO13,FL13UMN92207,KO,away
BRN7360799,01/08/2019 13:15:07,NE09,IA29IQS63679,1.0,NE09,IA29IQS63679,NE,home
OLV1623583,01/08/2019 14:08:09,OO03,LC72NRN52084,3.1,OO03,LC72NRN52084,OO,home
XVJ7652867,01/08/2019 14:18:20,GF00,CP56DAO45598,2.8,GF00,CP56DAO45598,GF,home
UVE2297410,01/08/2019 15:42:16,EG02,BI87HYL81972,1.0,EG02,BI87HYL81972,MR,away
LZP3584479,01/08/2019 15:52:45,NE13,QR03XCJ37459,1.5,NE13,QR03XCJ37459,OO,away
COH4374136,01/08/2019 15:53:38,NE01,PD45WOT56494,2.0,NE01,PD45WOT56494,NE,home
EZI7123567,01/08/2019 16:14:53,MR04,LM86GYO69819,2.2,MR04,LM86GYO69819,GF,away
HSO9832566,01/08/2019 16:25:21,AO08,LG64ARC91224,13.0,AO08,LG64ARC91224,AO,home
GWX5926658,01/08/2019 17:14:28,GF00,PF04UCA93312,3.1,GF00,PF04UCA93312,GF,home
PGX6872041,01/08/2019 17:34:52,EG01,JD78PQD35395,1.0,EG01,JD78PQD35395,EG,home
EWR8013818,01/08/2019 17:52:10,NE08,ZY93PCY41868,1.25,NE08,ZY93PCY41868,KO,away
AJJ7574694,01/08/2019 18:02:22,OO02,HE38BQH01623,1.5,OO02,HE38BQH01623,MR,away
BAM0767909,01/08/2019 18:49:30,AO09,BM25PHF40639,13.0,AO09,BM25PHF40639,AO,home
ZTV2947809,01/08/2019 18:51:10,AO05,DP11ENT03275,3.1,AO05,DP11ENT03275,AO,home
MDB4040741,01/08/2019 19:31:51,OO00,PD45WOT56494,1.5,OO00,PD45WOT56494,NE,away
CSG3318300,01/08/2019 21:22:02,MR03,IZ65WAT29135,2.0,MR03,IZ65WAT29135,MR,home
NHM3675844,01/08/2019 21:30:18,NE05,QO68DIC93032,3.1,NE05,QO68DIC93032,MR,away
DPB6551839,01/08/2019 21:42:28,KO02,KB55KTM48860,2.5,KO02,KB55KTM48860,KO,home
YZI2644272,01/08/2019 22:06:59,KO06,WY00MLL63827,1.0,KO06,WY00MLL63827,KO,home
DZH0114567,01/08/2019 23:17:47,AO06,OC94ASJ72024,1.0,AO06,OC94ASJ72024,AO,home
WJX5646477,01/09/2019 00:43:24,EG02,EC02LZC49528,2.8,EG02,EC02LZC49528,EG,home
GTQ0716183,01/09/2019 00:52:26,GF00,PF04UCA93312,3.1,GF00,PF04UCA93312,GF,home
DIM4006595,01/09/2019 01:58:48,OO02,IC95TLY24827,2.0,OO02,IC95TLY24827,OO,home
FMX7447301,01/09/2019 02:01:31,KO08,ED51EWW52190,2.8,KO08,ED51EWW52190,KO,home
CCT1120986,01/09/2019 02:12:31,KO09,ED51EWW52190,2.8,KO09,ED51EWW52190,KO,home
UBU3174102,01/09/2019 03:38:53,OO01,IC95TLY24827,2.0,OO01,IC95TLY24827,OO,home
PEJ6840364,01/09/2019 04:16:36,AO06,PE73VJU23485,2.8,AO06,PE73VJU23485,AO,home
POM1873220,01/09/2019 04:31:40,EG08,XE59BZM26378,2.5,EG08,XE59BZM26378,EG,home
UNO6659001,01/09/2019 05:10:53,GF00,PF04UCA93312,3.1,GF00,PF04UCA93312,GF,home
